x,y,z
-9.652494159716082378e-02,9.229206317717224273e-03,1.014210197468309982e+00
-9.951398775344931502e-02,8.957446630483662658e-03,1.006228119452371894e+00
-1.009663398969244535e-01,8.789197367882913697e-03,9.988104518615139593e-01
-1.013489768574571959e-01,8.712455036178467366e-03,9.919959752743044978e-01
-1.010141385047658297e-01,8.681547903522428278e-03,9.855988231240462305e-01
-1.002243396130914205e-01,8.664440637334812345e-03,9.794506245510234965e-01
-9.918182903414879403e-02,8.646102603689798799e-03,9.734255635112287752e-01
-9.804152331567493606e-02,8.619185469156335003e-03,9.674354777068958633e-01
-9.691549985671751855e-02,8.580728777037685204e-03,9.614285708281671283e-01
-9.585519749087029195e-02,8.531317245603881050e-03,9.553782284651926027e-01
-9.491076132097116258e-02,8.471213982241520765e-03,9.492596040726426487e-01
-9.411495744056552759e-02,8.401062332725302978e-03,9.430588565569953952e-01
-9.348264959923889561e-02,8.321892515579201732e-03,9.367712266602173932e-01
-9.301474174997265143e-02,8.234999992132082877e-03,9.303984131389808621e-01
-9.270227722110753465e-02,8.141870452117965298e-03,9.239464168894159224e-01
-9.252950280186927889e-02,8.044131451079749445e-03,9.174241038867395615e-01
-9.247646500111117440e-02,7.943491678844305862e-03,9.108420420205733947e-01
-9.252174067245926004e-02,7.841651674415169374e-03,9.042112523901872922e-01
-9.264442067223192800e-02,7.740214167103685525e-03,8.975423152664568915e-01
-9.282536592389019348e-02,7.640605838663687942e-03,8.908448142616285370e-01
-9.304790875584902088e-02,7.544016502074707073e-03,8.841270353536377913e-01
-9.329813920661816917e-02,7.451360115309157810e-03,8.773958559310353067e-01
-9.356490743727997883e-02,7.363259328415858347e-03,8.706567644650502480e-01
-9.383964273277606294e-02,7.280052089582839808e-03,8.639139650754129596e-01
-9.411623038460414925e-02,7.202832626256891989e-03,8.571704817779527419e-01
-9.439076665647172515e-02,7.135546942005154859e-03,8.504282696981718681e-01
-9.466065633776114818e-02,7.078480850077339959e-03,8.436886121868927280e-01
-9.492444057868584806e-02,7.030243803056317881e-03,8.369522562858044967e-01
-9.518146652671506669e-02,6.989258724236720004e-03,8.302195554095161967e-01
-9.543165822268757925e-02,6.954134260007730460e-03,8.234905985683058649e-01
-9.567538845398890213e-02,6.924138968518661792e-03,8.167652706650214700e-01
-9.659490871170402226e-02,6.900226543703480431e-03,8.145902650394580835e-01
-9.817711813172956548e-02,6.890818272450505676e-03,8.185191877797917126e-01
-9.991178918852310076e-02,6.903802898642267920e-03,8.239668591178593848e-01
-1.014817549879069164e-01,6.916462942065038783e-03,8.298041706942049789e-01
-1.028280453426368563e-01,6.938761308895255615e-03,8.358040346855936109e-01
-1.039480945296626518e-01,6.984810680105093053e-03,8.419189188866302853e-01
-1.048599807283361607e-01,7.054996072057799841e-03,8.481321622071477107e-01
-1.055910627572144572e-01,7.143445417368630979e-03,8.544302068411360196e-01
-1.061720170965209098e-01,7.245049024826569553e-03,8.607989512614093730e-01
-1.066332566563396311e-01,7.355567861003506694e-03,8.672243188898461907e-01
-1.070028848911337704e-01,7.471753121927522147e-03,8.736931209281499910e-01
-1.073055927810099702e-01,7.591362949883722830e-03,8.801936326303874125e-01
-1.075621770140283012e-01,7.713097194237479755e-03,8.867158786750742872e-01
-1.077894762101967441e-01,7.836477702058790989e-03,8.932517051872829184e-01
-1.080005814295167260e-01,7.961698952295048065e-03,8.997947104799975948e-01
-1.082052135971515588e-01,8.089422836994635685e-03,9.063400892480817372e-01
-1.084101595501690413e-01,8.219615194980914655e-03,9.128844334530635818e-01
-1.086197374399970744e-01,8.350962833005152672e-03,9.194255315737848155e-01
-1.088362971135542479e-01,8.481747051452591737e-03,9.259621653458671720e-01
-1.090606835504511207e-01,8.610095648932140563e-03,9.324939014690457606e-01
-1.092926522752151325e-01,8.734102722687773004e-03,9.390208957483476837e-01
-1.095312263361988836e-01,8.851957652979459273e-03,9.455437195342810686e-01
-1.097749955530405164e-01,8.962074065985922017e-03,9.520632086252962534e-01
-1.100223571969571046e-01,9.063204016987829598e-03,9.585803357663251756e-01
-1.102716990759552568e-01,9.154522798153281321e-03,9.650961076423952845e-01
-1.105215293335584936e-01,9.235672052967096313e-03,9.716114860539992737e-01
-1.107705592436805664e-01,9.306754230476919215e-03,9.781273321616238414e-01
-1.110177465214769593e-01,9.368279292885700257e-03,9.846443719276412043e-01
-1.112623073638340787e-01,9.421073041863754077e-03,9.911631800640620105e-01
-1.115037056152252820e-01,9.466163084215554330e-03,9.976841789957144879e-01
-1.117416269609216306e-01,9.504661393047647566e-03,1.004207648845263146e+00
-1.116254332003719790e-01,9.488901772006980151e-03,1.004756605910150480e+00
-1.107852933221770003e-01,9.401980472632192817e-03,1.000070290619909263e+00
-1.098186163149223737e-01,9.310516385870569456e-03,9.942993216226125863e-01
-1.089782249496639016e-01,9.219924695655088223e-03,9.882187942126140490e-01
-1.083230541870801172e-01,9.130316105621016573e-03,9.819864345508202419e-01
-1.078567045018196391e-01,9.043254967799736754e-03,9.756410453394770421e-01
-1.075646955772802393e-01,8.956632862045305760e-03,9.691998199728494301e-01
-1.074243918526890801e-01,8.868447729671425500e-03,9.626773652758052746e-01
-1.074099584318849998e-01,8.777463007434743031e-03,9.560882121271576661e-01
-1.074954769388240111e-01,8.683207358847484791e-03,9.494463460878885819e-01
-1.076568364235870739e-01,8.585847602610455209e-03,9.427645418675002498e-01
-1.078728110977647120e-01,8.486035504669999646e-03,9.360539254404820486e-01
-1.081255576089098225e-01,8.384754448286487263e-03,9.293237805502538862e-01
-1.084007032598475195e-01,8.283177322285634886e-03,9.225815439180300448e-01
-1.086871678198684937e-01,8.182542556692699864e-03,9.158329264166992223e-01
